customerID,Contract,InternetService,PaymentMethod,MonthlyCharges,tenure,TotalCharges,Churn,revenue_rank,charge_quartile,contract_avg_charge,vs_contract_avg,customer_tier
7569-NMZYQ,Two year,Fiber optic,Bank transfer (automatic),118.75,72,8672.45,0,1,4,60.77,57.98,Enterprise
8984-HPEMB,Two year,Fiber optic,Electronic check,118.65,71,8477.6,0,2,4,60.77,57.88,Enterprise
5734-EJKXG,One year,Fiber optic,Electronic check,118.6,61,7365.7,0,3,4,65.05,53.55,Enterprise
5989-AXPUC,Two year,Fiber optic,Mailed check,118.6,68,7990.05,0,3,4,60.77,57.83,Enterprise
8199-ZLLSA,One year,Fiber optic,Bank transfer (automatic),118.35,67,7804.15,1,5,4,65.05,53.3,Enterprise
9924-JPRMC,Two year,Fiber optic,Electronic check,118.2,72,8547.15,0,6,4,60.77,57.43,Enterprise
2889-FPWRM,One year,Fiber optic,Bank transfer (automatic),117.8,72,8684.8,1,7,4,65.05,52.75,Enterprise
3810-DVDQQ,Two year,Fiber optic,Bank transfer (automatic),117.6,72,8308.9,0,8,4,60.77,56.83,Enterprise
9739-JLPQJ,Two year,Fiber optic,Credit card (automatic),117.5,72,8670.1,0,9,4,60.77,56.73,Enterprise
2302-ANTDP,Month-to-month,Fiber optic,Electronic check,117.45,48,5438.9,1,10,4,66.4,51.05,Enterprise
6904-JLBGY,Two year,Fiber optic,Credit card (automatic),117.35,72,8436.25,0,11,4,60.77,56.58,Enterprise
4282-MSACW,One year,Fiber optic,Credit card (automatic),117.2,68,8035.95,0,12,4,65.05,52.15,Enterprise
6650-BWFRT,Two year,Fiber optic,Credit card (automatic),117.15,72,8529.5,0,13,4,60.77,56.38,Enterprise
9788-HNGUT,Two year,Fiber optic,Credit card (automatic),116.95,72,8594.4,0,14,4,60.77,56.18,Enterprise
1488-PBLJN,Two year,Fiber optic,Bank transfer (automatic),116.85,72,8477.7,0,15,4,60.77,56.08,Enterprise
0017-IUDMW,Two year,Fiber optic,Credit card (automatic),116.8,72,8456.75,0,16,4,60.77,56.03,Enterprise
8628-MFKAX,Two year,Fiber optic,Credit card (automatic),116.75,72,8277.05,0,17,4,60.77,55.98,Enterprise
3680-CTHUH,One year,Fiber optic,Credit card (automatic),116.6,60,7049.5,0,18,4,65.05,51.55,Enterprise
3258-ZKPAI,Two year,Fiber optic,Bank transfer (automatic),116.6,72,8337.45,0,18,4,60.77,55.83,Enterprise
3795-CAWEX,Two year,Fiber optic,Credit card (automatic),116.55,70,8152.3,0,20,4,60.77,55.78,Enterprise
8016-NCFVO,Month-to-month,Fiber optic,Electronic check,116.5,55,6382.55,0,21,4,66.4,50.1,Enterprise
3963-RYFNS,Two year,Fiber optic,Bank transfer (automatic),116.45,72,8013.55,0,22,4,60.77,55.68,Enterprise
0675-NCDYU,Two year,Fiber optic,Credit card (automatic),116.4,72,8543.25,0,23,4,60.77,55.63,Enterprise
0186-CAERR,One year,Fiber optic,Bank transfer (automatic),116.3,71,8309.55,0,24,4,65.05,51.25,Enterprise
4374-YMUSQ,One year,Fiber optic,Credit card (automatic),116.25,34,3899.05,0,25,4,65.05,51.2,Enterprise
4868-AADLV,One year,Fiber optic,Electronic check,116.25,66,7862.25,0,25,4,65.05,51.2,Enterprise
8879-XUAHX,Two year,Fiber optic,Electronic check,116.25,71,8564.75,0,25,4,60.77,55.48,Enterprise
9053-JZFKV,Two year,Fiber optic,Credit card (automatic),116.2,67,7752.3,1,28,4,60.77,55.43,Enterprise
9695-IDRZR,Two year,Fiber optic,Credit card (automatic),116.15,34,3946.9,0,29,4,60.77,55.38,Enterprise
8975-SKGRX,Two year,Fiber optic,Bank transfer (automatic),116.1,71,8310.55,0,30,4,60.77,55.33,Enterprise
7923-IYJWY,Two year,Fiber optic,Credit card (automatic),116.1,67,7839.85,0,30,4,60.77,55.33,Enterprise
1480-BKXGA,Two year,Fiber optic,Bank transfer (automatic),116.05,72,8404.9,0,32,4,60.77,55.28,Enterprise
2223-GDSHL,Two year,Fiber optic,Bank transfer (automatic),116.05,71,8297.5,0,32,4,60.77,55.28,Enterprise
8261-GWDBQ,Two year,Fiber optic,Bank transfer (automatic),116.05,60,6925.9,0,32,4,60.77,55.28,Enterprise
0106-UGRDO,Two year,Fiber optic,Electronic check,116.0,69,8182.85,0,35,4,60.77,55.23,Enterprise
1741-WTPON,Two year,Fiber optic,Mailed check,115.85,56,6567.9,0,36,4,60.77,55.08,Enterprise
0052-DCKON,One year,Fiber optic,Bank transfer (automatic),115.8,66,7942.15,0,37,4,65.05,50.75,Enterprise
6007-TCTST,Two year,Fiber optic,Bank transfer (automatic),115.8,72,8476.5,0,37,4,60.77,55.03,Enterprise
5914-XRFQB,Two year,Fiber optic,Bank transfer (automatic),115.8,72,8424.9,0,37,4,60.77,55.03,Enterprise
8513-OLYGY,Two year,Fiber optic,Credit card (automatic),115.8,72,8332.15,0,37,4,60.77,55.03,Enterprise
8606-CIQUL,Two year,Fiber optic,Credit card (automatic),115.75,72,8399.15,0,41,4,60.77,54.98,Enterprise
5451-YHYPW,Two year,Fiber optic,Credit card (automatic),115.75,72,8443.7,0,41,4,60.77,54.98,Enterprise
9659-QEQSY,Month-to-month,Fiber optic,Electronic check,115.65,45,5125.5,0,43,4,66.4,49.25,Enterprise
1444-VVSGW,One year,Fiber optic,Credit card (automatic),115.65,70,7968.85,1,43,4,65.05,50.6,Enterprise
0442-ZXKVS,One year,Fiber optic,Bank transfer (automatic),115.6,54,6431.05,0,45,4,65.05,50.55,Enterprise
1352-HNSAW,Two year,Fiber optic,Bank transfer (automatic),115.6,72,8220.4,0,45,4,60.77,54.83,Enterprise
0201-OAMXR,One year,Fiber optic,Credit card (automatic),115.55,70,8127.6,1,47,4,65.05,50.5,Enterprise
8480-PPONV,Two year,Fiber optic,Bank transfer (automatic),115.55,62,7159.05,0,47,4,60.77,54.78,Enterprise
8263-QMNTJ,Two year,Fiber optic,Electronic check,115.55,72,8425.3,0,47,4,60.77,54.78,Enterprise
2121-JAFOM,Two year,Fiber optic,Credit card (automatic),115.55,72,8312.4,0,47,4,60.77,54.78,Enterprise
8015-IHCGW,Two year,Fiber optic,Electronic check,115.5,72,8425.15,0,51,4,60.77,54.73,Enterprise
9298-WGMRW,Two year,Fiber optic,Bank transfer (automatic),115.5,72,8312.75,0,51,4,60.77,54.73,Enterprise
3882-IYOIJ,Two year,Fiber optic,Credit card (automatic),115.25,60,6758.45,0,53,4,60.77,54.48,Enterprise
3669-WHAFY,Two year,Fiber optic,Credit card (automatic),115.15,71,8078.1,0,54,4,60.77,54.38,Enterprise
0906-QVPMS,Two year,Fiber optic,Bank transfer (automatic),115.15,72,8349.45,0,54,4,60.77,54.38,Enterprise
3396-DKDEL,Two year,Fiber optic,Credit card (automatic),115.15,70,8250.0,0,54,4,60.77,54.38,Enterprise
2380-DAMQP,Two year,Fiber optic,Electronic check,115.15,72,8349.7,0,54,4,60.77,54.38,Enterprise
3642-GKTCT,One year,Fiber optic,Mailed check,115.1,61,6993.65,0,58,4,65.05,50.05,Enterprise
7017-VFHAY,Two year,Fiber optic,Credit card (automatic),115.1,61,7008.15,0,58,4,60.77,54.33,Enterprise
8869-LIHMK,Two year,Fiber optic,Bank transfer (automatic),115.1,64,7334.05,0,58,4,60.77,54.33,Enterprise
8894-JVDCV,One year,Fiber optic,Credit card (automatic),115.05,62,7133.45,0,61,4,65.05,50.0,Enterprise
1557-EMYVT,Two year,Fiber optic,Credit card (automatic),115.05,43,4895.1,0,61,4,60.77,54.28,Enterprise
8454-AATJP,Two year,Fiber optic,Credit card (automatic),115.05,72,8405.0,0,61,4,60.77,54.28,Enterprise
8029-XYPWT,Two year,Fiber optic,Bank transfer (automatic),115.05,71,8016.6,0,61,4,60.77,54.28,Enterprise
1229-RCALF,One year,Fiber optic,Electronic check,115.0,64,7396.15,0,65,4,65.05,49.95,Enterprise
6919-ELBGL,Two year,Fiber optic,Bank transfer (automatic),114.95,72,8196.4,0,66,4,60.77,54.18,Enterprise
7176-WRTNX,Two year,Fiber optic,Bank transfer (automatic),114.95,70,7711.25,0,66,4,60.77,54.18,Enterprise
4304-TSPVK,Two year,Fiber optic,Bank transfer (automatic),114.9,68,7843.55,0,68,4,60.77,54.13,Enterprise
0164-APGRB,Two year,Fiber optic,Electronic check,114.9,72,8496.7,0,68,4,60.77,54.13,Enterprise
2388-LAESQ,Two year,Fiber optic,Bank transfer (automatic),114.85,72,8317.95,0,70,4,60.77,54.08,Enterprise
4393-GEADV,Two year,Fiber optic,Credit card (automatic),114.75,70,7842.3,0,71,4,60.77,53.98,Enterprise
6445-TNRXS,Two year,Fiber optic,Bank transfer (automatic),114.7,68,7849.85,0,72,4,60.77,53.93,Enterprise
0206-TBWLC,One year,Fiber optic,Mailed check,114.65,54,6049.5,0,73,4,65.05,49.6,Enterprise
1779-PWPMG,Two year,Fiber optic,Bank transfer (automatic),114.65,72,8333.95,0,73,4,60.77,53.88,Enterprise
5322-TEUJK,Two year,Fiber optic,Bank transfer (automatic),114.6,71,8100.25,0,75,4,60.77,53.83,Enterprise
0530-IJVDB,Two year,Fiber optic,Electronic check,114.6,70,7882.5,0,75,4,60.77,53.83,Enterprise
8207-DMRVL,Two year,Fiber optic,Bank transfer (automatic),114.55,72,8306.05,0,77,4,60.77,53.78,Enterprise
4361-BKAXE,Month-to-month,Fiber optic,Bank transfer (automatic),114.5,41,4527.45,1,78,4,66.4,48.1,Enterprise
5135-GRQJV,Two year,Fiber optic,Mailed check,114.5,72,8331.95,0,78,4,60.77,53.73,Enterprise
7359-WWYJV,Two year,Fiber optic,Credit card (automatic),114.45,72,8375.05,0,80,4,60.77,53.68,Enterprise
2040-XBAVJ,Two year,Fiber optic,Bank transfer (automatic),114.45,72,8100.55,0,80,4,60.77,53.68,Enterprise
6655-LHBYW,One year,Fiber optic,Credit card (automatic),114.35,50,5791.1,0,82,4,65.05,49.3,Enterprise
5375-XLDOF,Two year,Fiber optic,Bank transfer (automatic),114.35,69,7665.8,0,82,4,60.77,53.58,Enterprise
9896-UYMIE,One year,Fiber optic,Bank transfer (automatic),114.3,66,7383.7,0,84,4,65.05,49.25,Enterprise
0266-GMEAO,Two year,Fiber optic,Credit card (automatic),114.3,72,8058.55,0,84,4,60.77,53.53,Enterprise
7929-SKFGK,Two year,Fiber optic,Credit card (automatic),114.3,70,8244.3,0,84,4,60.77,53.53,Enterprise
1555-DJEQW,Two year,Fiber optic,Bank transfer (automatic),114.2,70,7723.9,1,87,4,60.77,53.43,Enterprise
6710-HSJRD,Month-to-month,Fiber optic,Electronic check,114.1,61,7132.15,0,88,4,66.4,47.7,Enterprise
9637-CDTKZ,Two year,Fiber optic,Credit card (automatic),114.1,72,8086.4,0,88,4,60.77,53.33,Enterprise
4376-KFVRS,Two year,Fiber optic,Credit card (automatic),114.05,72,8468.2,0,90,4,60.77,53.28,Enterprise
3892-NXAZG,Two year,Fiber optic,Credit card (automatic),114.05,72,8289.2,0,90,4,60.77,53.28,Enterprise
9127-FHJBZ,Two year,Fiber optic,Electronic check,114.0,72,8093.15,0,92,4,60.77,53.23,Enterprise
3726-TBHQT,Two year,Fiber optic,Bank transfer (automatic),114.0,71,8175.9,0,92,4,60.77,53.23,Enterprise
8085-MSNLK,Two year,Fiber optic,Mailed check,113.95,62,6891.4,0,94,4,60.77,53.18,Enterprise
3258-SYSWS,Two year,Fiber optic,Bank transfer (automatic),113.8,72,7845.8,0,95,4,60.77,53.03,Enterprise
7663-CUXZB,Two year,Fiber optic,Electronic check,113.75,59,6561.25,0,96,4,60.77,52.98,Enterprise
9239-GZHZE,Two year,Fiber optic,Credit card (automatic),113.65,72,8124.2,0,97,4,60.77,52.88,Enterprise
5038-ETMLM,Two year,Fiber optic,Bank transfer (automatic),113.65,72,8182.75,0,97,4,60.77,52.88,Enterprise
4806-DXQCE,Two year,Fiber optic,Electronic check,113.65,70,7714.65,0,97,4,60.77,52.88,Enterprise
2368-GAKKQ,Two year,Fiber optic,Bank transfer (automatic),113.65,70,7939.25,0,97,4,60.77,52.88,Enterprise
9258-CNWAC,Two year,Fiber optic,Credit card (automatic),113.65,71,8166.8,0,97,4,60.77,52.88,Enterprise
9158-VCTQB,Month-to-month,Fiber optic,Bank transfer (automatic),113.6,41,4594.95,1,102,4,66.4,47.2,Enterprise
7740-BTPUX,Two year,Fiber optic,Electronic check,113.6,55,6292.7,0,102,4,60.77,52.83,Enterprise
9746-MDMBK,One year,Fiber optic,Bank transfer (automatic),113.45,47,5317.8,0,104,4,65.05,48.4,Enterprise
8670-ERCJH,Two year,Fiber optic,Bank transfer (automatic),113.4,72,8164.1,0,105,4,60.77,52.63,Enterprise
0864-FVJNJ,One year,Fiber optic,Electronic check,113.35,64,7222.75,0,106,4,65.05,48.3,Enterprise
