customerID,Contract,tenure,MonthlyCharges,risk_score,risk_label,Churn
7590-VHVEG,Month-to-month,1,29.85,6,Critical,false
5575-GNVDE,One year,34,56.95,2,Medium,false
3668-QPYBK,Month-to-month,2,53.85,6,Critical,true
7795-CFOCW,One year,45,42.3,2,Medium,false
9237-HQITU,Month-to-month,2,70.7,6,Critical,true
9305-CDSKC,Month-to-month,8,99.65,6,Critical,true
1452-KIOVK,Month-to-month,22,89.1,5,Critical,false
6713-OKOMC,Month-to-month,10,29.75,6,Critical,false
7892-POOKP,Month-to-month,28,104.8,4,High,true
6388-TABGU,One year,62,56.15,1,Medium,false
9763-GRSKD,Month-to-month,13,49.95,5,Critical,false
7469-LKBCI,Two year,16,18.95,2,Medium,false
8091-TTVAX,One year,58,100.35,1,Medium,false
0280-XJGEX,Month-to-month,49,103.7,3,High,true
5129-JLPIS,Month-to-month,25,105.5,4,High,false
3655-SNQYZ,Two year,69,113.25,0,Low,false
8191-XWSZG,One year,52,20.65,1,Medium,false
9959-WOFKT,Two year,71,106.7,0,Low,false
4190-MFLUW,Month-to-month,10,55.2,6,Critical,true
4183-MYFRB,Month-to-month,21,90.05,5,Critical,false
8779-QRDMV,Month-to-month,1,39.65,6,Critical,true
1680-VDCWW,One year,12,19.8,4,High,false
1066-JKSGK,Month-to-month,1,20.15,6,Critical,true
3638-WEABW,Two year,58,59.9,0,Low,false
6322-HRPFA,Month-to-month,49,59.6,3,High,false
6865-JZNKO,Month-to-month,30,55.3,4,High,false
6467-CHFZW,Month-to-month,47,99.35,4,High,true
8665-UTDHZ,Month-to-month,1,30.2,6,Critical,true
5248-YGIJN,Two year,72,90.25,0,Low,false
8773-HHUOZ,Month-to-month,17,64.7,5,Critical,true
3841-NFECX,Two year,71,96.35,0,Low,false
4929-XIHVW,Month-to-month,2,95.5,6,Critical,false
6827-IEAUQ,One year,27,66.15,2,Medium,false
7310-EGVHZ,Month-to-month,1,20.2,6,Critical,false
3413-BMNZE,Month-to-month,1,45.25,6,Critical,false
6234-RAAPL,Two year,72,99.9,0,Low,false
6047-YHPVI,Month-to-month,5,69.7,6,Critical,true
6572-ADKRS,Month-to-month,46,74.8,4,High,false
5380-WJKOV,Month-to-month,34,106.35,4,High,true
8168-UQWWF,Month-to-month,11,97.85,6,Critical,true
8865-TNMNX,One year,10,49.55,4,High,false
9489-DEDVP,Two year,70,69.2,0,Low,false
9867-JCZSP,One year,17,20.75,3,High,false
4671-VJLCL,Two year,63,79.85,0,Low,false
4080-IIARD,Month-to-month,13,76.2,5,Critical,false
3714-NTNFO,Month-to-month,49,84.5,3,High,false
5948-UJZLF,Month-to-month,2,49.25,6,Critical,false
7760-OYPDY,Month-to-month,2,80.65,6,Critical,true
7639-LIAYI,Two year,52,79.75,0,Low,false
2954-PIBKO,Two year,69,64.15,0,Low,false
8012-SOUDQ,Month-to-month,43,90.25,4,High,false
9420-LOJKX,Month-to-month,15,99.1,5,Critical,true
6575-SUVOI,Month-to-month,25,69.5,4,High,false
7495-OOKFY,Month-to-month,8,80.65,6,Critical,true
4667-QONEA,One year,60,74.85,1,Medium,false
1658-BYGOY,Month-to-month,18,95.45,5,Critical,true
8769-KKTPH,One year,63,99.65,1,Medium,false
5067-XJQFU,One year,66,108.45,1,Medium,false
3957-SQXML,Two year,34,24.95,1,Medium,false
5954-BDFSG,Two year,72,107.5,0,Low,false
0434-CSFON,Month-to-month,47,100.5,4,High,false
1215-FIGMP,Month-to-month,60,89.9,3,High,false
0526-SXDJP,Two year,72,42.1,0,Low,false
0557-ASKVU,One year,18,54.4,3,High,false
5698-BQJOH,Month-to-month,9,94.4,6,Critical,true
5122-CYFXA,Month-to-month,3,75.3,6,Critical,false
8627-ZYGSZ,One year,47,78.9,2,Medium,false
3410-YOQBQ,Two year,31,79.2,1,Medium,false
3170-NMYVV,Two year,50,20.15,0,Low,false
7410-OIEDU,Month-to-month,10,79.85,6,Critical,false
2273-QCKXA,Month-to-month,1,49.05,6,Critical,false
0731-EBJQB,One year,52,20.4,1,Medium,false
1891-QRQSA,Two year,64,111.6,0,Low,false
8028-PNXHQ,Two year,62,24.25,0,Low,false
