customerID,Contract,MonthlyCharges,tenure,risk_score,risk_label,lifetime_value,Churn
7590-VHVEG,Month-to-month,29.85,1,9,Critical,29.85,false
5575-GNVDE,One year,56.95,34,4,Medium,1936.3,false
3668-QPYBK,Month-to-month,53.85,2,8,Critical,107.7,true
7795-CFOCW,One year,42.3,45,2,Low,1903.5,false
9237-HQITU,Month-to-month,70.7,2,9,Critical,141.4,true
9305-CDSKC,Month-to-month,99.65,8,9,Critical,797.2,true
1452-KIOVK,Month-to-month,89.1,22,5,High,1960.2,false
6713-OKOMC,Month-to-month,29.75,10,8,Critical,297.5,false
7892-POOKP,Month-to-month,104.8,28,7,Critical,2934.4,true
6388-TABGU,One year,56.15,62,1,Low,3481.3,false
9763-GRSKD,Month-to-month,49.95,13,7,Critical,649.35,false
7469-LKBCI,Two year,18.95,16,2,Low,303.2,false
8091-TTVAX,One year,100.35,58,1,Low,5820.3,false
0280-XJGEX,Month-to-month,103.7,49,3,Medium,5081.3,true
5129-JLPIS,Month-to-month,105.5,25,7,Critical,2637.5,false
3655-SNQYZ,Two year,113.25,69,0,Low,7814.25,false
8191-XWSZG,One year,20.65,52,3,Medium,1073.8,false
9959-WOFKT,Two year,106.7,71,0,Low,7575.7,false
4190-MFLUW,Month-to-month,55.2,10,6,High,552.0,true
4183-MYFRB,Month-to-month,90.05,21,8,Critical,1891.05,false
8779-QRDMV,Month-to-month,39.65,1,9,Critical,39.65,true
1680-VDCWW,One year,19.8,12,4,Medium,237.6,false
1066-JKSGK,Month-to-month,20.15,1,8,Critical,20.15,true
3638-WEABW,Two year,59.9,58,0,Low,3474.2,false
6322-HRPFA,Month-to-month,59.6,49,3,Medium,2920.4,false
6865-JZNKO,Month-to-month,55.3,30,4,Medium,1659.0,false
6467-CHFZW,Month-to-month,99.35,47,7,Critical,4669.45,true
8665-UTDHZ,Month-to-month,30.2,1,9,Critical,30.2,true
5248-YGIJN,Two year,90.25,72,0,Low,6498.0,false
8773-HHUOZ,Month-to-month,64.7,17,7,Critical,1099.9,true
3841-NFECX,Two year,96.35,71,0,Low,6840.85,false
4929-XIHVW,Month-to-month,95.5,2,6,High,191.0,false
6827-IEAUQ,One year,66.15,27,4,Medium,1786.05,false
7310-EGVHZ,Month-to-month,20.2,1,6,High,20.2,false
3413-BMNZE,Month-to-month,45.25,1,6,High,45.25,false
6234-RAAPL,Two year,99.9,72,0,Low,7192.8,false
6047-YHPVI,Month-to-month,69.7,5,9,Critical,348.5,true
6572-ADKRS,Month-to-month,74.8,46,4,Medium,3440.8,false
5380-WJKOV,Month-to-month,106.35,34,7,Critical,3615.9,true
8168-UQWWF,Month-to-month,97.85,11,6,High,1076.35,true
8865-TNMNX,One year,49.55,10,6,High,495.5,false
9489-DEDVP,Two year,69.2,70,0,Low,4844.0,false
9867-JCZSP,One year,20.75,17,5,High,352.75,false
4671-VJLCL,Two year,79.85,63,0,Low,5030.55,false
4080-IIARD,Month-to-month,76.2,13,8,Critical,990.6,false
3714-NTNFO,Month-to-month,84.5,49,6,High,4140.5,false
5948-UJZLF,Month-to-month,49.25,2,8,Critical,98.5,false
7760-OYPDY,Month-to-month,80.65,2,9,Critical,161.3,true
7639-LIAYI,Two year,79.75,52,0,Low,4147.0,false
2954-PIBKO,Two year,64.15,69,0,Low,4426.35,false
8012-SOUDQ,Month-to-month,90.25,43,7,Critical,3880.75,false
9420-LOJKX,Month-to-month,99.1,15,5,High,1486.5,true
6575-SUVOI,Month-to-month,69.5,25,4,Medium,1737.5,false
7495-OOKFY,Month-to-month,80.65,8,6,High,645.2,true
4667-QONEA,One year,74.85,60,1,Low,4491.0,false
1658-BYGOY,Month-to-month,95.45,18,8,Critical,1718.1,true
8769-KKTPH,One year,99.65,63,1,Low,6277.95,false
5067-XJQFU,One year,108.45,66,4,Medium,7157.7,false
3957-SQXML,Two year,24.95,34,1,Low,848.3,false
5954-BDFSG,Two year,107.5,72,0,Low,7740.0,false
0434-CSFON,Month-to-month,100.5,47,7,Critical,4723.5,false
1215-FIGMP,Month-to-month,89.9,60,3,Medium,5394.0,false
0526-SXDJP,Two year,42.1,72,0,Low,3031.2,false
0557-ASKVU,One year,54.4,18,3,Medium,979.2,false
5698-BQJOH,Month-to-month,94.4,9,9,Critical,849.6,true
5122-CYFXA,Month-to-month,75.3,3,9,Critical,225.9,false
8627-ZYGSZ,One year,78.9,47,5,High,3708.3,false
3410-YOQBQ,Two year,79.2,31,3,Medium,2455.2,false
3170-NMYVV,Two year,20.15,50,0,Low,1007.5,false
7410-OIEDU,Month-to-month,79.85,10,8,Critical,798.5,false
2273-QCKXA,Month-to-month,49.05,1,8,Critical,49.05,false
0731-EBJQB,One year,20.4,52,4,Medium,1060.8,false
1891-QRQSA,Two year,111.6,64,0,Low,7142.4,false
8028-PNXHQ,Two year,24.25,62,0,Low,1503.5,false
5630-AHZIL,Month-to-month,64.5,3,6,High,193.5,false
2673-CXQEU,One year,110.5,56,4,Medium,6188.0,false
6416-JNVRK,One year,55.65,46,2,Low,2559.9,false
5590-ZSKRV,Month-to-month,54.65,8,8,Critical,437.2,false
0191-ZHSKZ,Month-to-month,74.75,30,7,Critical,2242.5,false
3887-PBQAO,One year,25.9,45,2,Low,1165.5,false
5919-TMRGD,Month-to-month,79.35,1,9,Critical,79.35,true
8108-UXRQN,Month-to-month,50.55,11,9,Critical,556.05,false
9191-MYQKX,Month-to-month,75.15,7,6,High,526.05,true
9919-YLNNG,Month-to-month,103.8,42,4,Medium,4359.6,false
0318-ZOPWS,Two year,20.15,49,0,Low,987.35,false
4445-ZJNMU,Month-to-month,99.3,9,6,High,893.7,false
4808-YNLEU,One year,62.15,35,2,Low,2175.25,false
1862-QRWPE,Two year,20.65,48,1,Low,991.2,false
2796-NNUFI,Two year,19.95,46,3,Medium,917.7,false
3016-KSVCP,Month-to-month,33.75,29,6,High,978.75,false
4767-HZZHQ,Month-to-month,82.05,30,4,Medium,2461.5,false
2424-WVHPL,Month-to-month,74.7,1,9,Critical,74.7,false
7233-PAHHL,Two year,84.0,66,2,Low,5544.0,false
6067-NGCEU,Month-to-month,111.05,65,3,Medium,7218.25,false
9848-JQJTX,Two year,100.9,72,0,Low,7264.8,false
8637-XJIVR,Month-to-month,78.95,12,9,Critical,947.4,true
9803-FTJCG,One year,66.85,71,1,Low,4746.35,false
0278-YXOOG,Month-to-month,21.05,5,8,Critical,105.25,true
3212-KXOCR,Two year,21.0,52,0,Low,1092.0,false
4598-XLKNJ,Month-to-month,98.5,25,7,Critical,2462.5,true
6380-ARCEH,Month-to-month,20.2,1,8,Critical,20.2,false
3679-XASPY,Month-to-month,19.45,1,9,Critical,19.45,false
7123-WQUHX,One year,95.0,38,2,Low,3610.0,false
5386-THSLQ,One year,45.55,66,1,Low,3006.3,false
3192-NQECA,Two year,110.0,68,0,Low,7480.0,true
6180-YBIQI,Month-to-month,24.3,5,8,Critical,121.5,false
6728-DKUCO,One year,104.15,72,4,Medium,7498.8,false
9750-BOOHV,One year,30.15,32,4,Medium,964.8,false
8597-CWYHH,One year,94.35,43,4,Medium,4057.05,false
2848-YXSMW,Two year,19.4,72,0,Low,1396.8,false
0486-HECZI,Month-to-month,96.75,55,6,High,5321.25,true
4549-ZDQYY,One year,57.95,52,1,Low,3013.4,false
5712-AHQNN,Month-to-month,91.65,43,7,Critical,3940.95,false
4846-WHAFZ,Month-to-month,76.5,37,7,Critical,2830.5,true
5256-SKJGO,Two year,54.6,64,3,Medium,3494.4,false
3071-VBYPO,Month-to-month,89.85,3,9,Critical,269.55,false
9560-BBZXK,Two year,31.05,36,1,Low,1117.8,false
5299-RULOA,Month-to-month,100.25,10,9,Critical,1002.5,true
8402-OOOHJ,Two year,20.65,41,3,Medium,846.65,false
9445-ZUEQE,Month-to-month,85.2,27,4,Medium,2300.4,false
1091-SOZGA,One year,99.8,56,1,Low,5588.8,false
2928-HLDBA,Month-to-month,20.7,6,8,Critical,124.2,false
0404-SWRVG,Month-to-month,74.4,3,9,Critical,223.2,true
6497-TILVL,Month-to-month,50.7,7,8,Critical,354.9,false
7219-TLZHO,Month-to-month,20.85,4,8,Critical,83.4,false
4622-YNKIJ,Two year,88.95,33,4,Medium,2935.35,false
4412-YLTKF,Month-to-month,78.05,27,7,Critical,2107.35,true
6734-PSBAW,Two year,23.55,72,0,Low,1695.6,false
3930-ZGWVE,Month-to-month,19.75,1,8,Critical,19.75,false
2639-UGMAZ,One year,56.45,71,4,Medium,4007.95,false
2876-GZYZC,Month-to-month,85.95,13,8,Critical,1117.35,false
6207-WIOLX,Month-to-month,58.6,25,4,Medium,1465.0,true
8587-XYZSF,Two year,50.55,67,0,Low,3386.85,false
3091-FYHKI,Month-to-month,35.45,1,9,Critical,35.45,true
2372-HWUHI,Month-to-month,44.35,2,9,Critical,88.7,true
7799-LGRDP,Two year,25.7,43,1,Low,1105.1,false
7850-VWJUU,Month-to-month,75.0,23,5,High,1725.0,false
3774-VBNXY,Two year,20.2,64,2,Low,1292.8,false
6217-KDYWC,Two year,19.6,57,2,Low,1117.2,false
0390-DCFDQ,Month-to-month,70.45,1,8,Critical,70.45,true
